iter	Passed	Remaining
278	660	1706
279	662	1704
280	665	1701
281	667	1699
282	669	1696
283	672	1694
284	674	1691
285	676	1689
286	678	1686
287	681	1684
288	683	1681
289	685	1679
290	688	1677
291	690	1674
292	693	1672
293	695	1670
294	697	1667
295	700	1665
296	702	1663
297	705	1661
298	707	1658
299	709	1656
300	711	1653
301	714	1650
302	715	1646
303	718	1644
304	720	1642
305	723	1640
306	725	1637
307	727	1635
308	730	1632
309	732	1630
310	735	1628
311	737	1626
312	739	1623
313	742	1621
314	744	1618
315	746	1616
316	749	1614
317	751	1611
318	753	1609
319	756	1607
320	758	1604
321	760	1601
322	763	1599
323	765	1597
324	767	1594
325	770	1592
326	772	1589
327	774	1587
328	777	1585
329	779	1582
330	782	1580
331	784	1578
332	786	1576
333	789	1573
334	791	1570
335	793	1568
336	795	1565
337	798	1563
338	800	1561
339	803	1559
340	805	1556
341	807	1554
342	810	1551
343	812	1549
344	814	1547
345	817	1545
346	819	1542
347	822	1540
348	824	1538
349	827	1536
350	829	1534
351	831	1531
352	834	1528
353	836	1526
354	838	1524
355	841	1521
356	843	1519
357	845	1517
358	848	1514
359	850	1512
360	853	1509
361	855	1507
362	857	1505
363	859	1502
364	862	1500
365	864	1497
366	866	1495
367	869	1492
368	871	1490
369	873	1487
370	876	1485
371	878	1482
372	880	1480
373	882	1477
374	885	1475
375	887	1473
376	889	1470
377	892	1468
378	894	1465
379	896	1463
380	899	1460
381	901	1458
382	903	1455
383	905	1453
384	908	1450
385	910	1448
386	912	1446
387	915	1443
388	917	1441
389	919	1438
390	922	1436
391	924	1433
392	926	1431
393	929	1428
394	931	1426
395	933	1424
396	936	1421
397	938	1419
398	940	1416
399	942	1414
400	945	1411
401	947	1409
402	949	1407
403	952	1404
404	954	1402
405	956	1399
406	958	1397
407	961	1395
408	963	1392
409	966	1390
410	968	1388
411	971	1385
412	973	1383
413	976	1381
414	978	1379
415	980	1377
416	983	1374
417	985	1372
418	987	1369
419	990	1367
420	992	1365
421	995	1363
422	997	1360
423	999	1358
424	1002	1355
425	1004	1353
426	1006	1351
427	1009	1348
428	1011	1346
429	1013	1343
430	1016	1341
431	1018	1338
432	1020	1336
433	1023	1334
434	1025	1332
435	1027	1329
436	1030	1327
437	1032	1324
438	1034	1322
439	1037	1320
440	1039	1317
441	1042	1315
442	1044	1313
443	1046	1310
444	1048	1308
445	1051	1305
446	1053	1303
447	1056	1301
448	1058	1298
449	1060	1296
450	1062	1293
451	1065	1291
452	1067	1289
453	1070	1287
454	1073	1285
455	1075	1283
456	1078	1281
457	1080	1278
458	1083	1276
459	1085	1274
460	1088	1272
461	1090	1269
462	1092	1267
463	1095	1265
464	1097	1262
465	1100	1260
466	1102	1258
467	1104	1255
468	1107	1253
469	1109	1251
470	1111	1248
471	1114	1246
472	1116	1244
473	1119	1241
474	1121	1239
475	1123	1237
476	1126	1234
477	1128	1232
478	1130	1229
479	1132	1227
480	1135	1224
481	1137	1222
482	1139	1219
483	1141	1217
484	1144	1215
485	1147	1213
486	1149	1210
487	1152	1208
488	1154	1206
489	1156	1204
490	1159	1201
491	1161	1199
492	1163	1196
493	1166	1194
494	1168	1192
495	1170	1189
496	1173	1187
497	1175	1185
498	1178	1182
499	1180	1180
500	1182	1178
501	1185	1175
502	1187	1173
503	1189	1170
504	1192	1168
505	1194	1166
506	1196	1163
507	1199	1161
508	1201	1158
509	1203	1156
510	1206	1154
511	1208	1152
512	1211	1149
513	1213	1147
514	1215	1145
515	1218	1142
516	1220	1140
517	1223	1138
518	1225	1135
519	1227	1133
520	1230	1130
521	1232	1128
522	1234	1126
523	1237	1123
524	1239	1121
525	1242	1119
526	1244	1117
527	1247	1114
528	1250	1113
529	1252	1110
530	1255	1108
531	1257	1106
532	1260	1104
533	1263	1102
534	1265	1100
535	1268	1098
536	1270	1095
537	1273	1093
538	1275	1091
539	1278	1089
540	1281	1087
541	1283	1084
542	1286	1082
543	1288	1080
544	1291	1078
545	1293	1075
546	1296	1073
547	1298	1071
548	1301	1068
549	1303	1066
550	1305	1064
551	1308	1062
552	1311	1059
553	1313	1057
554	1316	1055
555	1318	1052
556	1320	1050
557	1323	1048
558	1325	1045
559	1328	1043
560	1330	1041
561	1332	1038
562	1335	1036
563	1337	1034
564	1340	1031
565	1342	1029
566	1344	1027
567	1347	1024
568	1349	1022
569	1351	1019
570	1354	1017
571	1356	1015
572	1358	1012
573	1361	1010
574	1363	1007
575	1366	1005
576	1368	1003
577	1370	1000
578	1373	998
579	1375	996
580	1377	993
581	1380	991
582	1382	988
583	1384	986
584	1387	984
585	1389	981
586	1391	979
587	1394	976
588	1396	974
589	1399	972
590	1401	969
591	1403	967
592	1406	965
593	1408	962
594	1411	960
595	1413	958
596	1416	955
597	1418	953
598	1421	951
599	1423	949
600	1426	946
601	1428	944
602	1430	942
603	1433	939
604	1435	937
605	1437	934
606	1440	932
607	1442	930
608	1445	928
609	1447	925
610	1450	923
611	1452	920
612	1454	918
613	1457	916
614	1459	913
615	1461	911
616	1464	908
617	1466	906
618	1468	904
619	1471	901
620	1473	899
621	1475	896
622	1478	894
623	1480	892
624	1482	889
625	1485	887
626	1487	884
627	1490	882
628	1492	880
629	1495	878
630	1497	875
631	1499	873
632	1502	870
633	1504	868
634	1506	866
635	1509	863
636	1511	861
637	1514	859
638	1516	856
639	1518	854
640	1521	851
641	1523	849
642	1525	847
643	1528	844
644	1530	842
645	1532	840
646	1535	837
647	1537	835
648	1539	832
649	1542	830
650	1544	828
651	1547	825
652	1549	823
653	1551	821
654	1554	818
655	1556	816
656	1559	814
657	1561	811
658	1563	809
659	1566	806
660	1568	804
661	1571	802
662	1573	799
663	1576	797
664	1578	795
665	1580	792
666	1583	790
667	1585	787
668	1587	785
669	1590	783
670	1592	780
671	1594	778
672	1597	776
673	1599	773
674	1601	771
675	1604	768
676	1606	766
677	1609	764
678	1611	761
679	1613	759
680	1616	757
681	1618	754
682	1620	752
683	1623	749
684	1625	747
685	1628	745
686	1632	743
687	1634	741
688	1637	739
689	1639	736
690	1641	734
691	1644	731
692	1646	729
693	1648	727
694	1651	724
695	1653	722
696	1655	719
697	1658	717
698	1660	715
699	1662	712
700	1665	710
701	1667	707
702	1669	705
703	1672	703
704	1674	700
705	1677	698
706	1679	695
707	1681	693
708	1683	691
709	1686	688
710	1688	686
711	1691	684
712	1694	681
713	1696	679
714	1698	677
715	1701	674
716	1703	672
717	1705	669
718	1708	667
719	1710	665
720	1712	662
721	1715	660
722	1717	657
723	1719	655
724	1721	653
725	1724	650
726	1726	648
727	1729	646
728	1731	643
729	1733	641
730	1736	638
731	1738	636
732	1741	634
733	1743	631
734	1745	629
735	1748	627
736	1750	624
737	1752	622
738	1754	619
739	1757	617
740	1760	615
741	1763	613
742	1765	610
743	1767	608
744	1770	605
745	1772	603
746	1775	601
747	1777	598
748	1780	596
749	1782	594
750	1785	591
751	1787	589
752	1789	587
753	1792	584
754	1795	582
755	1797	580
756	1800	577
757	1802	575
758	1804	573
759	1807	570
760	1809	568
761	1811	565
762	1814	563
763	1816	561
764	1819	558
765	1821	556
766	1824	554
767	1826	551
768	1828	549
769	1831	546
770	1833	544
771	1836	542
772	1838	539
773	1840	537
774	1843	535
775	1845	532
776	1847	530
777	1850	527
778	1852	525
779	1854	523
780	1857	520
781	1859	518
782	1862	516
783	1864	513
784	1867	511
785	1869	508
786	1871	506
787	1874	504
788	1876	501
789	1878	499
790	1881	497
791	1883	494
792	1885	492
793	1888	489
794	1890	487
795	1892	485
796	1896	482
797	1898	480
798	1900	478
799	1903	475
800	1905	473
801	1908	471
802	1910	468
803	1913	466
804	1915	463
805	1917	461
806	1920	459
807	1922	456
808	1925	454
809	1927	452
810	1929	449
811	1932	447
812	1934	444
813	1936	442
814	1939	440
815	1941	437
816	1944	435
817	1946	433
818	1948	430
819	1950	428
820	1953	425
821	1955	423
822	1958	421
823	1960	418
824	1963	416
825	1965	414
826	1967	411
827	1970	409
828	1972	406
829	1974	404
830	1977	402
831	1979	399
832	1981	397
833	1984	394
834	1986	392
835	1989	390
836	1991	387
837	1993	385
838	1996	383
839	1998	380
840	2000	378
841	2003	375
842	2005	373
843	2007	371
844	2010	368
845	2012	366
846	2015	364
847	2017	361
848	2019	359
849	2022	356
850	2024	354
851	2026	352
852	2029	349
853	2031	347
854	2033	344
855	2036	342
856	2038	340
857	2041	337
858	2043	335
859	2045	333
860	2047	330
861	2050	328
862	2052	325
863	2054	323
864	2057	321
865	2059	318
866	2061	316
867	2064	313
868	2066	311
869	2068	309
870	2071	306
871	2073	304
872	2075	301
873	2078	299
874	2080	297
875	2083	294
876	2085	292
877	2087	290
878	2090	287
879	2092	285
880	2095	283
881	2097	280
882	2100	278
883	2102	275
884	2104	273
885	2107	271
886	2109	268
887	2112	266
888	2114	263
889	2116	261
890	2119	259
891	2121	256
892	2124	254
893	2126	252
894	2128	249
895	2130	247
896	2133	244
897	2135	242
898	2137	240
899	2140	237
900	2142	235
901	2145	233
902	2147	230
903	2150	228
904	2152	225
905	2154	223
906	2157	221
907	2159	218
908	2161	216
909	2164	214
910	2166	211
911	2169	209
912	2172	206
913	2174	204
914	2176	202
915	2178	199
916	2181	197
917	2183	195
918	2186	192
919	2188	190
920	2191	187
921	2193	185
922	2195	183
923	2198	180
924	2200	178
925	2203	176
926	2205	173
927	2207	171
928	2209	168
929	2212	166
930	2214	164
931	2217	161
932	2219	159
933	2221	157
934	2224	154
935	2226	152
936	2228	149
937	2231	147
938	2234	145
939	2236	142
940	2238	140
941	2241	137
942	2243	135
943	2245	133
944	2248	130
945	2250	128
946	2252	126
947	2254	123
948	2257	121
949	2259	118
950	2262	116
951	2264	114
952	2266	111
953	2269	109
954	2271	107
955	2273	104
956	2276	102
957	2278	99
958	2280	97
959	2283	95
960	2285	92
961	2287	90
962	2290	88
963	2292	85
964	2295	83
965	2297	80
966	2300	78
967	2302	76
968	2305	73
969	2307	71
970	2309	68
971	2312	66
972	2314	64
973	2317	61
974	2319	59
975	2321	57
976	2324	54
977	2326	52
978	2329	49
979	2331	47
980	2333	45
981	2336	42
982	2338	40
983	2341	38
984	2343	35
985	2346	33
986	2348	30
987	2350	28
988	2352	26
989	2355	23
990	2357	21
991	2359	19
992	2362	16
993	2364	14
994	2366	11
995	2369	9
996	2371	7
997	2374	4
998	2376	2
999	2378	0
