iter	RMSE
0	0.1001532441
1	0.1000630108
2	0.09994441427
3	0.09983185475
4	0.09972383842
5	0.09963378154
6	0.09953845488
7	0.09942420267
8	0.09933173467
9	0.09921362398
10	0.0990992114
11	0.09900392473
12	0.09891011086
13	0.09883361531
14	0.09873248683
15	0.09868314856
16	0.09862343211
17	0.09854352634
18	0.09845848275
19	0.09840612397
20	0.09829590368
21	0.09824062216
22	0.09818096748
23	0.09814161712
24	0.09807633284
25	0.09798731135
26	0.09791486088
27	0.0978212753
28	0.09778130975
29	0.09773371743
30	0.09768702179
31	0.09764337962
32	0.09756812028
33	0.09748710801
34	0.09744610095
35	0.09733538632
36	0.09727572744
37	0.097180475
38	0.09711962005
39	0.09709442453
40	0.09703884298
41	0.09699584222
42	0.09692514221
43	0.09686235665
44	0.09681818847
45	0.09674339671
46	0.09669583212
47	0.09663264049
48	0.09656830678
49	0.09653176697
50	0.09649446478
51	0.09644734826
52	0.09640506183
53	0.0963829786
54	0.09634575949
55	0.09631173995
56	0.09625559659
57	0.09621069982
58	0.09616329993
59	0.09610242746
60	0.09605838761
61	0.09598509739
62	0.09593443892
63	0.09586586371
64	0.09580671465
65	0.09575915897
66	0.09571702861
67	0.0956731593
68	0.09565610173
69	0.09559962116
70	0.09553856634
71	0.09547363663
72	0.09545323037
73	0.09538711493
74	0.09535268124
75	0.09533910875
76	0.09532495362
77	0.09527192593
78	0.09522975325
79	0.09521518888
80	0.09518887789
81	0.09515959839
82	0.09513642885
83	0.09511136858
84	0.09504827836
85	0.09501157666
86	0.09497228094
87	0.09492819787
88	0.09490549987
89	0.0948776827
90	0.09482131276
91	0.09475587018
92	0.09469758721
93	0.09467107566
94	0.0946351028
95	0.09459556175
96	0.09454795721
97	0.09451931508
98	0.09447567865
99	0.09444056358
100	0.094383002
101	0.09432155123
102	0.09430739397
103	0.09427042974
104	0.09424017693
105	0.09420334723
106	0.09414607819
107	0.09407066685
108	0.09402585649
109	0.0940040136
110	0.09398138436
111	0.09396490638
112	0.09393696616
113	0.09391444395
114	0.09386625426
115	0.09382677572
116	0.09380230261
117	0.09378000901
118	0.0937473685
119	0.09369990229
120	0.0936699699
121	0.09365624658
122	0.09362773529
123	0.09358343359
124	0.09355205448
125	0.09351984895
